sequence_id,sample_id,plant,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,fertilization,soil_type
3074_C_2018_P33_N200_B_20180514_RNA,3074,C,2018,P33,N200,B,20180514,5,RNA,yes,rhizosphere
3075_C_2018_P34_N300_A_20180514_RNA,3075,C,2018,P34,N300,A,20180514,5,RNA,yes,rhizosphere
3076_C_2018_P34_N300_B_20180514_RNA,3076,C,2018,P34,N300,B,20180514,5,RNA,yes,rhizosphere
3077_C_2018_P35_N0_A_20180514_RNA,3077,C,2018,P35,N0,A,20180514,5,RNA,yes,rhizosphere
3078_C_2018_P35_N0_B_20180514_RNA,3078,C,2018,P35,N0,B,20180514,5,RNA,yes,rhizosphere
3079_C_2018_P37_N300_A_20180514_RNA,3079,C,2018,P37,N300,A,20180514,5,RNA,yes,rhizosphere
3080_C_2018_P37_N300_B_20180514_RNA,3080,C,2018,P37,N300,B,20180514,5,RNA,yes,rhizosphere
3081_C_2018_P39_N0_A_20180514_RNA,3081,C,2018,P39,N0,A,20180514,5,RNA,yes,rhizosphere
3082_C_2018_P39_N0_B_20180514_RNA,3082,C,2018,P39,N0,B,20180514,5,RNA,yes,rhizosphere
3083_C_2018_P40_N200_A_20180514_RNA,3083,C,2018,P40,N200,A,20180514,5,RNA,yes,rhizosphere
3084_C_2018_P40_N200_B_20180514_RNA,3084,C,2018,P40,N200,B,20180514,5,RNA,yes,rhizosphere
3085_C_2018_P43_N200_A_20180514_RNA,3085,C,2018,P43,N200,A,20180514,5,RNA,yes,rhizosphere
3086_C_2018_P43_N200_B_20180514_RNA,3086,C,2018,P43,N200,B,20180514,5,RNA,yes,rhizosphere
3087_C_2018_P44_N0_A_20180514_RNA,3087,C,2018,P44,N0,A,20180514,5,RNA,yes,rhizosphere
3088_C_2018_P44_N0_B_20180514_RNA,3088,C,2018,P44,N0,B,20180514,5,RNA,yes,rhizosphere
3089_C_2018_P45_N300_A_20180514_RNA,3089,C,2018,P45,N300,A,20180514,5,RNA,yes,rhizosphere
3090_C_2018_P45_N300_B_20180514_RNA,3090,C,2018,P45,N300,B,20180514,5,RNA,yes,rhizosphere
3091_M_2017_P46_N0_A_20180514_RNA,3091,M,2017,P46,N0,A,20180514,5,RNA,yes,rhizosphere
3092_M_2017_P46_N0_B_20180514_RNA,3092,M,2017,P46,N0,B,20180514,5,RNA,yes,rhizosphere
3093_M_2017_P48_N400_A_20180514_RNA,3093,M,2017,P48,N400,A,20180514,5,RNA,yes,rhizosphere
3094_M_2017_P48_N400_B_20180514_RNA,3094,M,2017,P48,N400,B,20180514,5,RNA,yes,rhizosphere
3095_M_2017_P50_N200_A_20180514_RNA,3095,M,2017,P50,N200,A,20180514,5,RNA,yes,rhizosphere
3096_M_2017_P50_N200_B_20180514_RNA,3096,M,2017,P50,N200,B,20180514,5,RNA,yes,rhizosphere
3097_M_2015_P53_N400_A_20180514_RNA,3097,M,2015,P53,N400,A,20180514,5,RNA,yes,rhizosphere
3098_M_2015_P53_N400_B_20180514_RNA,3098,M,2015,P53,N400,B,20180514,5,RNA,yes,rhizosphere
3099_M_2015_P54_N200_A_20180514_RNA,3099,M,2015,P54,N200,A,20180514,5,RNA,yes,rhizosphere
3100_M_2015_P54_N200_B_20180514_RNA,3100,M,2015,P54,N200,B,20180514,5,RNA,yes,rhizosphere
3101_M_2015_P55_N0_A_20180514_RNA,3101,M,2015,P55,N0,A,20180514,5,RNA,yes,rhizosphere
3102_M_2015_P55_N0_B_20180514_RNA,3102,M,2015,P55,N0,B,20180514,5,RNA,yes,rhizosphere
3103_M_2016_P56_N0_A_20180514_RNA,3103,M,2016,P56,N0,A,20180514,5,RNA,yes,rhizosphere
3104_M_2016_P56_N0_B_20180514_RNA,3104,M,2016,P56,N0,B,20180514,5,RNA,yes,rhizosphere
3105_M_2016_P58_N400_A_20180514_RNA,3105,M,2016,P58,N400,A,20180514,5,RNA,yes,rhizosphere
3106_M_2016_P58_N400_B_20180514_RNA,3106,M,2016,P58,N400,B,20180514,5,RNA,yes,rhizosphere
3107_M_2016_P60_N200_A_20180514_RNA,3107,M,2016,P60,N200,A,20180514,5,RNA,yes,rhizosphere
3108_M_2016_P60_N200_B_20180514_RNA,3108,M,2016,P60,N200,B,20180514,5,RNA,yes,rhizosphere
4001_C_2018_P3_N300_A_20180530_RNA,4001,C,2018,P3,N300,A,20180530,21,RNA,yes,rhizosphere
4002_C_2018_P3_N300_B_20180530_RNA,4002,C,2018,P3,N300,B,20180530,21,RNA,yes,rhizosphere
4003_C_2018_P4_N0_A_20180530_RNA,4003,C,2018,P4,N0,A,20180530,21,RNA,yes,rhizosphere
4004_C_2018_P4_N0_B_20180530_RNA,4004,C,2018,P4,N0,B,20180530,21,RNA,yes,rhizosphere
4005_C_2018_P5_N200_A_20180530_RNA,4005,C,2018,P5,N200,A,20180530,21,RNA,yes,rhizosphere
4006_C_2018_P5_N200_B_20180530_RNA,4006,C,2018,P5,N200,B,20180530,21,RNA,yes,rhizosphere
4007_C_2018_P6_N300_A_20180530_RNA,4007,C,2018,P6,N300,A,20180530,21,RNA,yes,rhizosphere
4008_C_2018_P6_N300_B_20180530_RNA,4008,C,2018,P6,N300,B,20180530,21,RNA,yes,rhizosphere
4009_C_2018_P7_N0_A_20180530_RNA,4009,C,2018,P7,N0,A,20180530,21,RNA,yes,rhizosphere
4010_C_2018_P7_N0_B_20180530_RNA,4010,C,2018,P7,N0,B,20180530,21,RNA,yes,rhizosphere
4011_C_2018_P9_N200_A_20180530_RNA,4011,C,2018,P9,N200,A,20180530,21,RNA,yes,rhizosphere
4012_C_2018_P9_N200_B_20180530_RNA,4012,C,2018,P9,N200,B,20180530,21,RNA,yes,rhizosphere
4013_C_2018_P12_N200_A_20180530_RNA,4013,C,2018,P12,N200,A,20180530,21,RNA,yes,rhizosphere
4014_C_2018_P12_N200_B_20180530_RNA,4014,C,2018,P12,N200,B,20180530,21,RNA,yes,rhizosphere
4015_C_2018_P13_N300_A_20180530_RNA,4015,C,2018,P13,N300,A,20180530,21,RNA,yes,rhizosphere
4016_C_2018_P13_N300_B_20180530_RNA,4016,C,2018,P13,N300,B,20180530,21,RNA,yes,rhizosphere
4017_C_2018_P14_N0_A_20180530_RNA,4017,C,2018,P14,N0,A,20180530,21,RNA,yes,rhizosphere
4018_C_2018_P14_N0_B_20180530_RNA,4018,C,2018,P14,N0,B,20180530,21,RNA,yes,rhizosphere
4019_M_2015_P3_N400_A_20180530_RNA,4019,M,2015,P3,N400,A,20180530,21,RNA,yes,rhizosphere
4020_M_2015_P3_N400_B_20180530_RNA,4020,M,2015,P3,N400,B,20180530,21,RNA,yes,rhizosphere
4021_M_2015_P4_N0_A_20180530_RNA,4021,M,2015,P4,N0,A,20180530,21,RNA,yes,rhizosphere
4022_M_2015_P4_N0_B_20180530_RNA,4022,M,2015,P4,N0,B,20180530,21,RNA,yes,rhizosphere
4023_M_2015_P5_N200_A_20180530_RNA,4023,M,2015,P5,N200,A,20180530,21,RNA,yes,rhizosphere
4024_M_2015_P5_N200_B_20180530_RNA,4024,M,2015,P5,N200,B,20180530,21,RNA,yes,rhizosphere
4025_M_2016_P6_N400_A_20180530_RNA,4025,M,2016,P6,N400,A,20180530,21,RNA,yes,rhizosphere
4026_M_2016_P6_N400_B_20180530_RNA,4026,M,2016,P6,N400,B,20180530,21,RNA,yes,rhizosphere
4027_M_2016_P7_N0_A_20180530_RNA,4027,M,2016,P7,N0,A,20180530,21,RNA,yes,rhizosphere
4028_M_2016_P7_N0_B_20180530_RNA,4028,M,2016,P7,N0,B,20180530,21,RNA,yes,rhizosphere
4029_M_2016_P9_N200_A_20180530_RNA,4029,M,2016,P9,N200,A,20180530,21,RNA,yes,rhizosphere
4030_M_2016_P9_N200_B_20180530_RNA,4030,M,2016,P9,N200,B,20180530,21,RNA,yes,rhizosphere
4031_M_2017_P12_N200_A_20180530_RNA,4031,M,2017,P12,N200,A,20180530,21,RNA,yes,rhizosphere
4032_M_2017_P12_N200_B_20180530_RNA,4032,M,2017,P12,N200,B,20180530,21,RNA,yes,rhizosphere
4033_M_2017_P13_N400_A_20180530_RNA,4033,M,2017,P13,N400,A,20180530,21,RNA,yes,rhizosphere
4034_M_2017_P13_N400_B_20180530_RNA,4034,M,2017,P13,N400,B,20180530,21,RNA,yes,rhizosphere
4035_M_2017_P14_N0_A_20180530_RNA,4035,M,2017,P14,N0,A,20180530,21,RNA,yes,rhizosphere
4036_M_2017_P14_N0_B_20180530_RNA,4036,M,2017,P14,N0,B,20180530,21,RNA,yes,rhizosphere
4037_M_2016_P17_N400_A_20180530_RNA,4037,M,2016,P17,N400,A,20180530,21,RNA,yes,rhizosphere
4038_M_2016_P17_N400_B_20180530_RNA,4038,M,2016,P17,N400,B,20180530,21,RNA,yes,rhizosphere
4039_M_2016_P18_N200_A_20180530_RNA,4039,M,2016,P18,N200,A,20180530,21,RNA,yes,rhizosphere
4040_M_2016_P18_N200_B_20180530_RNA,4040,M,2016,P18,N200,B,20180530,21,RNA,yes,rhizosphere
4041_M_2016_P19_N0_A_20180530_RNA,4041,M,2016,P19,N0,A,20180530,21,RNA,yes,rhizosphere
4042_M_2016_P19_N0_B_20180530_RNA,4042,M,2016,P19,N0,B,20180530,21,RNA,yes,rhizosphere
4043_M_2017_P22_N400_A_20180530_RNA,4043,M,2017,P22,N400,A,20180530,21,RNA,yes,rhizosphere
4044_M_2017_P22_N400_B_20180530_RNA,4044,M,2017,P22,N400,B,20180530,21,RNA,yes,rhizosphere
4045_M_2017_P24_N0_A_20180530_RNA,4045,M,2017,P24,N0,A,20180530,21,RNA,yes,rhizosphere
4046_M_2017_P24_N0_B_20180530_RNA,4046,M,2017,P24,N0,B,20180530,21,RNA,yes,rhizosphere
4047_M_2017_P25_N200_A_20180530_RNA,4047,M,2017,P25,N200,A,20180530,21,RNA,yes,rhizosphere
4048_M_2017_P25_N200_B_20180530_RNA,4048,M,2017,P25,N200,B,20180530,21,RNA,yes,rhizosphere
4049_M_2015_P27_N400_A_20180530_RNA,4049,M,2015,P27,N400,A,20180530,21,RNA,yes,rhizosphere
4050_M_2015_P27_N400_B_20180530_RNA,4050,M,2015,P27,N400,B,20180530,21,RNA,yes,rhizosphere
4051_M_2015_P28_N0_A_20180530_RNA,4051,M,2015,P28,N0,A,20180530,21,RNA,yes,rhizosphere
4052_M_2015_P28_N0_B_20180530_RNA,4052,M,2015,P28,N0,B,20180530,21,RNA,yes,rhizosphere
4053_M_2015_P30_N200_A_20180530_RNA,4053,M,2015,P30,N200,A,20180530,21,RNA,yes,rhizosphere
4054_M_2015_P30_N200_B_20180530_RNA,4054,M,2015,P30,N200,B,20180530,21,RNA,yes,rhizosphere
4055_M_2017_P33_N200_A_20180530_RNA,4055,M,2017,P33,N200,A,20180530,21,RNA,yes,rhizosphere
4056_M_2017_P33_N200_B_20180530_RNA,4056,M,2017,P33,N200,B,20180530,21,RNA,yes,rhizosphere
4057_M_2017_P34_N400_A_20180530_RNA,4057,M,2017,P34,N400,A,20180530,21,RNA,yes,rhizosphere
4058_M_2017_P34_N400_B_20180530_RNA,4058,M,2017,P34,N400,B,20180530,21,RNA,yes,rhizosphere
4059_M_2017_P35_N0_A_20180530_RNA,4059,M,2017,P35,N0,A,20180530,21,RNA,yes,rhizosphere
4060_M_2017_P35_N0_B_20180530_RNA,4060,M,2017,P35,N0,B,20180530,21,RNA,yes,rhizosphere
4061_M_2016_P37_N400_A_20180530_RNA,4061,M,2016,P37,N400,A,20180530,21,RNA,yes,rhizosphere
4062_M_2016_P37_N400_B_20180530_RNA,4062,M,2016,P37,N400,B,20180530,21,RNA,yes,rhizosphere
4063_M_2016_P39_N0_A_20180530_RNA,4063,M,2016,P39,N0,A,20180530,21,RNA,yes,rhizosphere
4064_M_2016_P39_N0_B_20180530_RNA,4064,M,2016,P39,N0,B,20180530,21,RNA,yes,rhizosphere
4065_M_2016_P40_N200_A_20180530_RNA,4065,M,2016,P40,N200,A,20180530,21,RNA,yes,rhizosphere
4066_M_2016_P40_N200_B_20180530_RNA,4066,M,2016,P40,N200,B,20180530,21,RNA,yes,rhizosphere
4067_M_2015_P43_N200_A_20180530_RNA,4067,M,2015,P43,N200,A,20180530,21,RNA,yes,rhizosphere
4068_M_2015_P43_N200_B_20180530_RNA,4068,M,2015,P43,N200,B,20180530,21,RNA,yes,rhizosphere
4069_M_2015_P44_N0_A_20180530_RNA,4069,M,2015,P44,N0,A,20180530,21,RNA,yes,rhizosphere
4070_M_2015_P44_N0_B_20180530_RNA,4070,M,2015,P44,N0,B,20180530,21,RNA,yes,rhizosphere
4071_M_2015_P45_N400_A_20180530_RNA,4071,M,2015,P45,N400,A,20180530,21,RNA,yes,rhizosphere
4072_M_2015_P45_N400_B_20180530_RNA,4072,M,2015,P45,N400,B,20180530,21,RNA,yes,rhizosphere
4073_C_2018_P33_N200_A_20180530_RNA,4073,C,2018,P33,N200,A,20180530,21,RNA,yes,rhizosphere
4074_C_2018_P33_N200_B_20180530_RNA,4074,C,2018,P33,N200,B,20180530,21,RNA,yes,rhizosphere
4075_C_2018_P34_N300_A_20180530_RNA,4075,C,2018,P34,N300,A,20180530,21,RNA,yes,rhizosphere
4076_C_2018_P34_N300_B_20180530_RNA,4076,C,2018,P34,N300,B,20180530,21,RNA,yes,rhizosphere
4077_C_2018_P35_N0_A_20180530_RNA,4077,C,2018,P35,N0,A,20180530,21,RNA,yes,rhizosphere
4078_C_2018_P35_N0_B_20180530_RNA,4078,C,2018,P35,N0,B,20180530,21,RNA,yes,rhizosphere
4079_C_2018_P37_N300_A_20180530_RNA,4079,C,2018,P37,N300,A,20180530,21,RNA,yes,rhizosphere
4080_C_2018_P37_N300_B_20180530_RNA,4080,C,2018,P37,N300,B,20180530,21,RNA,yes,rhizosphere
4081_C_2018_P39_N0_A_20180530_RNA,4081,C,2018,P39,N0,A,20180530,21,RNA,yes,rhizosphere
4082_C_2018_P39_N0_B_20180530_RNA,4082,C,2018,P39,N0,B,20180530,21,RNA,yes,rhizosphere
4083_C_2018_P40_N200_A_20180530_RNA,4083,C,2018,P40,N200,A,20180530,21,RNA,yes,rhizosphere
4084_C_2018_P40_N200_B_20180530_RNA,4084,C,2018,P40,N200,B,20180530,21,RNA,yes,rhizosphere
4085_C_2018_P43_N200_A_20180530_RNA,4085,C,2018,P43,N200,A,20180530,21,RNA,yes,rhizosphere
4086_C_2018_P43_N200_B_20180530_RNA,4086,C,2018,P43,N200,B,20180530,21,RNA,yes,rhizosphere
4087_C_2018_P44_N0_A_20180530_RNA,4087,C,2018,P44,N0,A,20180530,21,RNA,yes,rhizosphere
4088_C_2018_P44_N0_B_20180530_RNA,4088,C,2018,P44,N0,B,20180530,21,RNA,yes,rhizosphere
4089_C_2018_P45_N300_A_20180530_RNA,4089,C,2018,P45,N300,A,20180530,21,RNA,yes,rhizosphere
4090_C_2018_P45_N300_B_20180530_RNA,4090,C,2018,P45,N300,B,20180530,21,RNA,yes,rhizosphere
4091_M_2017_P46_N0_A_20180530_RNA,4091,M,2017,P46,N0,A,20180530,21,RNA,yes,rhizosphere
4092_M_2017_P46_N0_B_20180530_RNA,4092,M,2017,P46,N0,B,20180530,21,RNA,yes,rhizosphere
4093_M_2017_P48_N400_A_20180530_RNA,4093,M,2017,P48,N400,A,20180530,21,RNA,yes,rhizosphere
4094_M_2017_P48_N400_B_20180530_RNA,4094,M,2017,P48,N400,B,20180530,21,RNA,yes,rhizosphere
4095_M_2017_P50_N200_A_20180530_RNA,4095,M,2017,P50,N200,A,20180530,21,RNA,yes,rhizosphere
4096_M_2017_P50_N200_B_20180530_RNA,4096,M,2017,P50,N200,B,20180530,21,RNA,yes,rhizosphere
4097_M_2015_P53_N400_A_20180530_RNA,4097,M,2015,P53,N400,A,20180530,21,RNA,yes,rhizosphere
4098_M_2015_P53_N400_B_20180530_RNA,4098,M,2015,P53,N400,B,20180530,21,RNA,yes,rhizosphere
4099_M_2015_P54_N200_A_20180530_RNA,4099,M,2015,P54,N200,A,20180530,21,RNA,yes,rhizosphere
4100_M_2015_P54_N200_B_20180530_RNA,4100,M,2015,P54,N200,B,20180530,21,RNA,yes,rhizosphere
4101_M_2015_P55_N0_A_20180530_RNA,4101,M,2015,P55,N0,A,20180530,21,RNA,yes,rhizosphere
4102_M_2015_P55_N0_B_20180530_RNA,4102,M,2015,P55,N0,B,20180530,21,RNA,yes,rhizosphere
4103_M_2016_P56_N0_A_20180530_RNA,4103,M,2016,P56,N0,A,20180530,21,RNA,yes,rhizosphere
4104_M_2016_P56_N0_B_20180530_RNA,4104,M,2016,P56,N0,B,20180530,21,RNA,yes,rhizosphere
4105_M_2016_P58_N400_A_20180530_RNA,4105,M,2016,P58,N400,A,20180530,21,RNA,yes,rhizosphere
4106_M_2016_P58_N400_B_20180530_RNA,4106,M,2016,P58,N400,B,20180530,21,RNA,yes,rhizosphere
4107_M_2016_P60_N200_A_20180530_RNA,4107,M,2016,P60,N200,A,20180530,21,RNA,yes,rhizosphere
4108_M_2016_P60_N200_B_20180530_RNA,4108,M,2016,P60,N200,B,20180530,21,RNA,yes,rhizosphere
5001_C_2018_P3_N300_A_20180703_RNA,5001,C,2018,P3,N300,A,20180703,69,RNA,yes,rhizosphere
5002_C_2018_P3_N300_B_20180703_RNA,5002,C,2018,P3,N300,B,20180703,69,RNA,yes,rhizosphere
5003_C_2018_P4_N0_A_20180703_RNA,5003,C,2018,P4,N0,A,20180703,69,RNA,yes,rhizosphere
5004_C_2018_P4_N0_B_20180703_RNA,5004,C,2018,P4,N0,B,20180703,69,RNA,yes,rhizosphere
5005_C_2018_P5_N200_A_20180703_RNA,5005,C,2018,P5,N200,A,20180703,69,RNA,yes,rhizosphere
5006_C_2018_P5_N200_B_20180703_RNA,5006,C,2018,P5,N200,B,20180703,69,RNA,yes,rhizosphere
5007_C_2018_P6_N300_A_20180703_RNA,5007,C,2018,P6,N300,A,20180703,69,RNA,yes,rhizosphere
5008_C_2018_P6_N300_B_20180703_RNA,5008,C,2018,P6,N300,B,20180703,69,RNA,yes,rhizosphere
5009_C_2018_P7_N0_A_20180703_RNA,5009,C,2018,P7,N0,A,20180703,69,RNA,yes,rhizosphere
5010_C_2018_P7_N0_B_20180703_RNA,5010,C,2018,P7,N0,B,20180703,69,RNA,yes,rhizosphere
5011_C_2018_P9_N200_A_20180703_RNA,5011,C,2018,P9,N200,A,20180703,69,RNA,yes,rhizosphere
5012_C_2018_P9_N200_B_20180703_RNA,5012,C,2018,P9,N200,B,20180703,69,RNA,yes,rhizosphere
5013_C_2018_P12_N200_A_20180703_RNA,5013,C,2018,P12,N200,A,20180703,69,RNA,yes,rhizosphere
5015_C_2018_P13_N300_A_20180703_RNA,5015,C,2018,P13,N300,A,20180703,69,RNA,yes,rhizosphere
5016_C_2018_P13_N300_B_20180703_RNA,5016,C,2018,P13,N300,B,20180703,69,RNA,yes,rhizosphere
5017_C_2018_P14_N0_A_20180703_RNA,5017,C,2018,P14,N0,A,20180703,69,RNA,yes,rhizosphere
5018_C_2018_P14_N0_B_20180703_RNA,5018,C,2018,P14,N0,B,20180703,69,RNA,yes,rhizosphere
5019_M_2015_P3_N400_A_20180703_RNA,5019,M,2015,P3,N400,A,20180703,69,RNA,yes,rhizosphere
5020_M_2015_P3_N400_B_20180703_RNA,5020,M,2015,P3,N400,B,20180703,69,RNA,yes,rhizosphere
5021_M_2015_P4_N0_A_20180703_RNA,5021,M,2015,P4,N0,A,20180703,69,RNA,yes,rhizosphere
5022_M_2015_P4_N0_B_20180703_RNA,5022,M,2015,P4,N0,B,20180703,69,RNA,yes,rhizosphere
5023_M_2015_P5_N200_A_20180703_RNA,5023,M,2015,P5,N200,A,20180703,69,RNA,yes,rhizosphere
5024_M_2015_P5_N200_B_20180703_RNA,5024,M,2015,P5,N200,B,20180703,69,RNA,yes,rhizosphere
5025_M_2016_P6_N400_A_20180703_RNA,5025,M,2016,P6,N400,A,20180703,69,RNA,yes,rhizosphere
5026_M_2016_P6_N400_B_20180703_RNA,5026,M,2016,P6,N400,B,20180703,69,RNA,yes,rhizosphere
5027_M_2016_P7_N0_A_20180703_RNA,5027,M,2016,P7,N0,A,20180703,69,RNA,yes,rhizosphere
5028_M_2016_P7_N0_B_20180703_RNA,5028,M,2016,P7,N0,B,20180703,69,RNA,yes,rhizosphere
5029_M_2016_P9_N200_A_20180703_RNA,5029,M,2016,P9,N200,A,20180703,69,RNA,yes,rhizosphere
5030_M_2016_P9_N200_B_20180703_RNA,5030,M,2016,P9,N200,B,20180703,69,RNA,yes,rhizosphere
5031_M_2017_P12_N200_A_20180703_RNA,5031,M,2017,P12,N200,A,20180703,69,RNA,yes,rhizosphere
5032_M_2017_P12_N200_B_20180703_RNA,5032,M,2017,P12,N200,B,20180703,69,RNA,yes,rhizosphere
5033_M_2017_P13_N400_A_20180703_RNA,5033,M,2017,P13,N400,A,20180703,69,RNA,yes,rhizosphere
5034_M_2017_P13_N400_B_20180703_RNA,5034,M,2017,P13,N400,B,20180703,69,RNA,yes,rhizosphere
5035_M_2017_P14_N0_A_20180703_RNA,5035,M,2017,P14,N0,A,20180703,69,RNA,yes,rhizosphere
5036_M_2017_P14_N0_B_20180703_RNA,5036,M,2017,P14,N0,B,20180703,69,RNA,yes,rhizosphere
5037_M_2016_P17_N400_A_20180703_RNA,5037,M,2016,P17,N400,A,20180703,69,RNA,yes,rhizosphere
5038_M_2016_P17_N400_B_20180703_RNA,5038,M,2016,P17,N400,B,20180703,69,RNA,yes,rhizosphere
5039_M_2016_P18_N200_A_20180703_RNA,5039,M,2016,P18,N200,A,20180703,69,RNA,yes,rhizosphere
5040_M_2016_P18_N200_B_20180703_RNA,5040,M,2016,P18,N200,B,20180703,69,RNA,yes,rhizosphere
5041_M_2016_P19_N0_A_20180703_RNA,5041,M,2016,P19,N0,A,20180703,69,RNA,yes,rhizosphere
5042_M_2016_P19_N0_B_20180703_RNA,5042,M,2016,P19,N0,B,20180703,69,RNA,yes,rhizosphere
5043_M_2017_P22_N400_A_20180703_RNA,5043,M,2017,P22,N400,A,20180703,69,RNA,yes,rhizosphere
5044_M_2017_P22_N400_B_20180703_RNA,5044,M,2017,P22,N400,B,20180703,69,RNA,yes,rhizosphere
5045_M_2017_P24_N0_A_20180703_RNA,5045,M,2017,P24,N0,A,20180703,69,RNA,yes,rhizosphere
5046_M_2017_P24_N0_B_20180703_RNA,5046,M,2017,P24,N0,B,20180703,69,RNA,yes,rhizosphere
5047_M_2017_P25_N200_A_20180703_RNA,5047,M,2017,P25,N200,A,20180703,69,RNA,yes,rhizosphere
5048_M_2017_P25_N200_B_20180703_RNA,5048,M,2017,P25,N200,B,20180703,69,RNA,yes,rhizosphere
5049_M_2015_P27_N400_A_20180703_RNA,5049,M,2015,P27,N400,A,20180703,69,RNA,yes,rhizosphere
5050_M_2015_P27_N400_B_20180703_RNA,5050,M,2015,P27,N400,B,20180703,69,RNA,yes,rhizosphere
5051_M_2015_P28_N0_A_20180703_RNA,5051,M,2015,P28,N0,A,20180703,69,RNA,yes,rhizosphere
5052_M_2015_P28_N0_B_20180703_RNA,5052,M,2015,P28,N0,B,20180703,69,RNA,yes,rhizosphere
5053_M_2015_P30_N200_A_20180703_RNA,5053,M,2015,P30,N200,A,20180703,69,RNA,yes,rhizosphere
5054_M_2015_P30_N200_B_20180703_RNA,5054,M,2015,P30,N200,B,20180703,69,RNA,yes,rhizosphere
5055_M_2017_P33_N200_A_20180703_RNA,5055,M,2017,P33,N200,A,20180703,69,RNA,yes,rhizosphere
5056_M_2017_P33_N200_B_20180703_RNA,5056,M,2017,P33,N200,B,20180703,69,RNA,yes,rhizosphere
5057_M_2017_P34_N400_A_20180703_RNA,5057,M,2017,P34,N400,A,20180703,69,RNA,yes,rhizosphere
5058_M_2017_P34_N400_B_20180703_RNA,5058,M,2017,P34,N400,B,20180703,69,RNA,yes,rhizosphere
5059_M_2017_P35_N0_A_20180703_RNA,5059,M,2017,P35,N0,A,20180703,69,RNA,yes,rhizosphere
5060_M_2017_P35_N0_B_20180703_RNA,5060,M,2017,P35,N0,B,20180703,69,RNA,yes,rhizosphere
5061_M_2016_P37_N400_A_20180703_RNA,5061,M,2016,P37,N400,A,20180703,69,RNA,yes,rhizosphere
5062_M_2016_P37_N400_B_20180703_RNA,5062,M,2016,P37,N400,B,20180703,69,RNA,yes,rhizosphere
5063_M_2016_P39_N0_A_20180703_RNA,5063,M,2016,P39,N0,A,20180703,69,RNA,yes,rhizosphere
5064_M_2016_P39_N0_B_20180703_RNA,5064,M,2016,P39,N0,B,20180703,69,RNA,yes,rhizosphere
5065_M_2016_P40_N200_A_20180703_RNA,5065,M,2016,P40,N200,A,20180703,69,RNA,yes,rhizosphere
5066_M_2016_P40_N200_B_20180703_RNA,5066,M,2016,P40,N200,B,20180703,69,RNA,yes,rhizosphere
5067_M_2015_P43_N200_A_20180703_RNA,5067,M,2015,P43,N200,A,20180703,69,RNA,yes,rhizosphere
5068_M_2015_P43_N200_B_20180703_RNA,5068,M,2015,P43,N200,B,20180703,69,RNA,yes,rhizosphere
5069_M_2015_P44_N0_A_20180703_RNA,5069,M,2015,P44,N0,A,20180703,69,RNA,yes,rhizosphere
5070_M_2015_P44_N0_B_20180703_RNA,5070,M,2015,P44,N0,B,20180703,69,RNA,yes,rhizosphere
5071_M_2015_P45_N400_A_20180703_RNA,5071,M,2015,P45,N400,A,20180703,69,RNA,yes,rhizosphere
5072_M_2015_P45_N400_B_20180703_RNA,5072,M,2015,P45,N400,B,20180703,69,RNA,yes,rhizosphere
5073_C_2018_P33_N200_A_20180703_RNA,5073,C,2018,P33,N200,A,20180703,69,RNA,yes,rhizosphere
5074_C_2018_P33_N200_B_20180703_RNA,5074,C,2018,P33,N200,B,20180703,69,RNA,yes,rhizosphere
5075_C_2018_P34_N300_A_20180703_RNA,5075,C,2018,P34,N300,A,20180703,69,RNA,yes,rhizosphere
5076_C_2018_P34_N300_B_20180703_RNA,5076,C,2018,P34,N300,B,20180703,69,RNA,yes,rhizosphere
5077_C_2018_P35_N0_A_20180703_RNA,5077,C,2018,P35,N0,A,20180703,69,RNA,yes,rhizosphere
5078_C_2018_P35_N0_B_20180703_RNA,5078,C,2018,P35,N0,B,20180703,69,RNA,yes,rhizosphere
5079_C_2018_P37_N300_A_20180703_RNA,5079,C,2018,P37,N300,A,20180703,69,RNA,yes,rhizosphere
5080_C_2018_P37_N300_B_20180703_RNA,5080,C,2018,P37,N300,B,20180703,69,RNA,yes,rhizosphere
5081_C_2018_P39_N0_A_20180703_RNA,5081,C,2018,P39,N0,A,20180703,69,RNA,yes,rhizosphere
5082_C_2018_P39_N0_B_20180703_RNA,5082,C,2018,P39,N0,B,20180703,69,RNA,yes,rhizosphere
5083_C_2018_P40_N200_A_20180703_RNA,5083,C,2018,P40,N200,A,20180703,69,RNA,yes,rhizosphere
5084_C_2018_P40_N200_B_20180703_RNA,5084,C,2018,P40,N200,B,20180703,69,RNA,yes,rhizosphere
5085_C_2018_P43_N200_A_20180703_RNA,5085,C,2018,P43,N200,A,20180703,69,RNA,yes,rhizosphere
5086_C_2018_P43_N200_B_20180703_RNA,5086,C,2018,P43,N200,B,20180703,69,RNA,yes,rhizosphere
5087_C_2018_P44_N0_A_20180703_RNA,5087,C,2018,P44,N0,A,20180703,69,RNA,yes,rhizosphere
5088_C_2018_P44_N0_B_20180703_RNA,5088,C,2018,P44,N0,B,20180703,69,RNA,yes,rhizosphere
5089_C_2018_P45_N300_A_20180703_RNA,5089,C,2018,P45,N300,A,20180703,69,RNA,yes,rhizosphere
5090_C_2018_P45_N300_B_20180703_RNA,5090,C,2018,P45,N300,B,20180703,69,RNA,yes,rhizosphere
