sequence_id,sample_id,crop,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project,rownames
2020_C_2018_P12_N200_B_20180429,2020_DNA,C,2018,P12,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2020_DNA
2021_C_2018_P12_N200_C_20180429,2021_DNA,C,2018,P12,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2021_DNA
2022_C_2018_P13_N300_A_20180429,2022_DNA,C,2018,P13,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2022_DNA
2023_C_2018_P13_N300_B_20180429,2023_DNA,C,2018,P13,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2023_DNA
2024_C_2018_P13_N300_C_20180429,2024_DNA,C,2018,P13,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2024_DNA
2025_C_2018_P14_N0_A_20180429,2025_DNA,C,2018,P14,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2025_DNA
2026_C_2018_P14_N0_B_20180429,2026_DNA,C,2018,P14,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2026_DNA
2027_C_2018_P14_N0_C_20180429,2027_DNA,C,2018,P14,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2027_DNA
2028_M_2015_P3_N400_A_20180429,2028_DNA,M,2015,P3,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2028_DNA
2029_M_2015_P3_N400_B_20180429,2029_DNA,M,2015,P3,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2029_DNA
2030_M_2015_P3_N400_C_20180429,2030_DNA,M,2015,P3,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2030_DNA
2031_M_2015_P4_N0_A_20180429,2031_DNA,M,2015,P4,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2031_DNA
2032_M_2015_P4_N0_B_20180429,2032_DNA,M,2015,P4,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2032_DNA
2033_M_2015_P4_N0_C_20180429,2033_DNA,M,2015,P4,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2033_DNA
2034_M_2015_P5_N200_A_20180429,2034_DNA,M,2015,P5,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2034_DNA
2035_M_2015_P5_N200_B_20180429,2035_DNA,M,2015,P5,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2035_DNA
2036_M_2015_P5_N200_C_20180429,2036_DNA,M,2015,P5,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2036_DNA
2037_M_2016_P6_N400_A_20180429,2037_DNA,M,2016,P6,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2037_DNA
2038_M_2016_P6_N400_B_20180429,2038_DNA,M,2016,P6,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2038_DNA
2039_M_2016_P6_N400_C_20180429,2039_DNA,M,2016,P6,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2039_DNA
2040_M_2016_P7_N0_A_20180429,2040_DNA,M,2016,P7,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2040_DNA
2041_M_2016_P7_N0_B_20180429,2041_DNA,M,2016,P7,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2041_DNA
2042_M_2016_P7_N0_C_20180429,2042_DNA,M,2016,P7,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2042_DNA
2043_M_2016_P9_N200_A_20180429,2043_DNA,M,2016,P9,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2043_DNA
2044_M_2016_P9_N200_B_20180429,2044_DNA,M,2016,P9,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2044_DNA
2045_M_2016_P9_N200_C_20180429,2045_DNA,M,2016,P9,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2045_DNA
2046_M_2017_P12_N200_A_20180429,2046_DNA,M,2017,P12,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2046_DNA
2047_M_2017_P12_N200_B_20180429,2047_DNA,M,2017,P12,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2047_DNA
2048_M_2017_P12_N200_C_20180429,2048_DNA,M,2017,P12,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2048_DNA
2049_M_2017_P13_N400_A_20180429,2049_DNA,M,2017,P13,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2049_DNA
2050_M_2017_P13_N400_B_20180429,2050_DNA,M,2017,P13,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2050_DNA
2051_M_2017_P13_N400_C_20180429,2051_DNA,M,2017,P13,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2051_DNA
2052_M_2017_P14_N0_A_20180429,2052_DNA,M,2017,P14,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2052_DNA
2053_M_2017_P14_N0_B_20180429,2053_DNA,M,2017,P14,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2053_DNA
2054_M_2017_P14_N0_C_20180429,2054_DNA,M,2017,P14,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2054_DNA
2055_M_2016_P17_N400_A_20180429,2055_DNA,M,2016,P17,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2055_DNA
2056_M_2016_P17_N400_B_20180429,2056_DNA,M,2016,P17,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2056_DNA
2057_M_2016_P17_N400_C_20180429,2057_DNA,M,2016,P17,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2057_DNA
2058_M_2016_P18_N200_A_20180429,2058_DNA,M,2016,P18,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2058_DNA
2059_M_2016_P18_N200_B_20180429,2059_DNA,M,2016,P18,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2059_DNA
2060_M_2016_P18_N200_C_20180429,2060_DNA,M,2016,P18,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2060_DNA
2061_M_2016_P19_N0_A_20180429,2061_DNA,M,2016,P19,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2061_DNA
2062_M_2016_P19_N0_B_20180429,2062_DNA,M,2016,P19,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2062_DNA
2063_M_2016_P19_N0_C_20180429,2063_DNA,M,2016,P19,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2063_DNA
2064_M_2017_P22_N400_A_20180429,2064_DNA,M,2017,P22,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2064_DNA
2065_M_2017_P22_N400_B_20180429,2065_DNA,M,2017,P22,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2065_DNA
2066_M_2017_P22_N400_C_20180429,2066_DNA,M,2017,P22,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2066_DNA
2067_M_2017_P24_N0_A_20180429,2067_DNA,M,2017,P24,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2067_DNA
2068_M_2017_P24_N0_B_20180429,2068_DNA,M,2017,P24,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2068_DNA
2069_M_2017_P24_N0_C_20180429,2069_DNA,M,2017,P24,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2069_DNA
2070_M_2017_P25_N200_A_20180429,2070_DNA,M,2017,P25,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2070_DNA
2071_M_2017_P25_N200_B_20180429,2071_DNA,M,2017,P25,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2071_DNA
2072_M_2017_P25_N200_C_20180429,2072_DNA,M,2017,P25,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2072_DNA
2073_M_2015_P27_N400_A_20180429,2073_DNA,M,2015,P27,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2073_DNA
2074_M_2015_P27_N400_B_20180429,2074_DNA,M,2015,P27,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2074_DNA
2075_M_2015_P27_N400_C_20180429,2075_DNA,M,2015,P27,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2075_DNA
2076_M_2015_P28_N0_A_20180429,2076_DNA,M,2015,P28,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2076_DNA
2077_M_2015_P28_N0_B_20180429,2077_DNA,M,2015,P28,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2077_DNA
2078_M_2015_P28_N0_C_20180429,2078_DNA,M,2015,P28,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2078_DNA
2079_M_2015_P30_N200_A_20180429,2079_DNA,M,2015,P30,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2079_DNA
2080_M_2015_P30_N200_B_20180429,2080_DNA,M,2015,P30,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2080_DNA
2081_M_2015_P30_N200_C_20180429,2081_DNA,M,2015,P30,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2081_DNA
2082_M_2017_P33_N200_A_20180429,2082_DNA,M,2017,P33,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2082_DNA
2083_M_2017_P33_N200_B_20180429,2083_DNA,M,2017,P33,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2083_DNA
2084_M_2017_P33_N200_C_20180429,2084_DNA,M,2017,P33,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2084_DNA
2085_M_2017_P34_N400_A_20180429,2085_DNA,M,2017,P34,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2085_DNA
2086_M_2017_P34_N400_B_20180429,2086_DNA,M,2017,P34,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2086_DNA
2087_M_2017_P34_N400_C_20180429,2087_DNA,M,2017,P34,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2087_DNA
2088_M_2017_P35_N0_A_20180429,2088_DNA,M,2017,P35,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2088_DNA
2089_M_2017_P35_N0_B_20180429,2089_DNA,M,2017,P35,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2089_DNA
2090_M_2017_P35_N0_C_20180429,2090_DNA,M,2017,P35,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2090_DNA
2091_M_2016_P37_N400_A_20180429,2091_DNA,M,2016,P37,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2091_DNA
2092_M_2016_P37_N400_B_20180429,2092_DNA,M,2016,P37,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2092_DNA
2093_M_2016_P37_N400_C_20180429,2093_DNA,M,2016,P37,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2093_DNA
2094_M_2016_P39_N0_A_20180429,2094_DNA,M,2016,P39,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2094_DNA
2095_M_2016_P39_N0_B_20180429,2095_DNA,M,2016,P39,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2095_DNA
2096_M_2016_P39_N0_C_20180429,2096_DNA,M,2016,P39,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2096_DNA
2097_M_2016_P40_N200_A_20180429,2097_DNA,M,2016,P40,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2097_DNA
2098_M_2016_P40_N200_B_20180429,2098_DNA,M,2016,P40,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2098_DNA
2099_M_2016_P40_N200_C_20180429,2099_DNA,M,2016,P40,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2099_DNA
2100_M_2015_P43_N200_A_20180429,2100_DNA,M,2015,P43,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2100_DNA
2101_M_2015_P43_N200_B_20180429,2101_DNA,M,2015,P43,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2101_DNA
2102_M_2015_P43_N200_C_20180429,2102_DNA,M,2015,P43,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2102_DNA
2103_M_2015_P44_N0_A_20180429,2103_DNA,M,2015,P44,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2103_DNA
2104_M_2015_P44_N0_B_20180429,2104_DNA,M,2015,P44,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2104_DNA
2105_M_2015_P44_N0_C_20180429,2105_DNA,M,2015,P44,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2105_DNA
2106_M_2015_P45_N400_A_20180429,2106_DNA,M,2015,P45,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2106_DNA
2107_M_2015_P45_N400_B_20180429,2107_DNA,M,2015,P45,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2107_DNA
2108_M_2015_P45_N400_C_20180429,2108_DNA,M,2015,P45,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2108_DNA
2109_C_2018_P33_N200_A_20180429,2109_DNA,C,2018,P33,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2109_DNA
2110_C_2018_P33_N200_B_20180429,2110_DNA,C,2018,P33,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2110_DNA
2111_C_2018_P33_N200_C_20180429,2111_DNA,C,2018,P33,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2111_DNA
2112_C_2018_P34_N300_A_20180429,2112_DNA,C,2018,P34,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2112_DNA
2113_C_2018_P34_N300_B_20180429,2113_DNA,C,2018,P34,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2113_DNA
2114_C_2018_P34_N300_C_20180429,2114_DNA,C,2018,P34,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2114_DNA
2115_C_2018_P35_N0_A_20180429,2115_DNA,C,2018,P35,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2115_DNA
2116_C_2018_P35_N0_B_20180429,2116_DNA,C,2018,P35,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2116_DNA
2117_C_2018_P35_N0_C_20180429,2117_DNA,C,2018,P35,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2117_DNA
2118_C_2018_P37_N300_A_20180429,2118_DNA,C,2018,P37,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2118_DNA
2119_C_2018_P37_N300_B_20180429,2119_DNA,C,2018,P37,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2119_DNA
2120_C_2018_P37_N300_C_20180429,2120_DNA,C,2018,P37,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2120_DNA
2121_C_2018_P39_N0_A_20180429,2121_DNA,C,2018,P39,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2121_DNA
2122_C_2018_P39_N0_B_20180429,2122_DNA,C,2018,P39,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2122_DNA
2123_C_2018_P39_N0_C_20180429,2123_DNA,C,2018,P39,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2123_DNA
2124_C_2018_P40_N200_A_20180429,2124_DNA,C,2018,P40,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2124_DNA
2125_C_2018_P40_N200_B_20180429,2125_DNA,C,2018,P40,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2125_DNA
2126_C_2018_P40_N200_C_20180429,2126_DNA,C,2018,P40,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2126_DNA
2127_C_2018_P43_N200_A_20180429,2127_DNA,C,2018,P43,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2127_DNA
2128_C_2018_P43_N200_B_20180429,2128_DNA,C,2018,P43,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2128_DNA
2129_C_2018_P43_N200_C_20180429,2129_DNA,C,2018,P43,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2129_DNA
2130_C_2018_P44_N0_A_20180429,2130_DNA,C,2018,P44,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2130_DNA
2131_C_2018_P44_N0_B_20180429,2131_DNA,C,2018,P44,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2131_DNA
2132_C_2018_P44_N0_C_20180429,2132_DNA,C,2018,P44,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2132_DNA
2133_C_2018_P45_N300_A_20180429,2133_DNA,C,2018,P45,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2133_DNA
2134_C_2018_P45_N300_B_20180429,2134_DNA,C,2018,P45,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2134_DNA
2135_C_2018_P45_N300_C_20180429,2135_DNA,C,2018,P45,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2135_DNA
2136_M_2017_P46_N0_A_20180429,2136_DNA,M,2017,P46,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2136_DNA
2137_M_2017_P46_N0_B_20180429,2137_DNA,M,2017,P46,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2137_DNA
2138_M_2017_P46_N0_C_20180429,2138_DNA,M,2017,P46,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2138_DNA
2139_M_2017_P48_N400_A_20180429,2139_DNA,M,2017,P48,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2139_DNA
2140_M_2017_P48_N400_B_20180429,2140_DNA,M,2017,P48,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2140_DNA
2141_M_2017_P48_N400_C_20180429,2141_DNA,M,2017,P48,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2141_DNA
2142_M_2017_P50_N200_A_20180429,2142_DNA,M,2017,P50,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2142_DNA
2143_M_2017_P50_N200_B_20180429,2143_DNA,M,2017,P50,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2143_DNA
2144_M_2017_P50_N200_C_20180429,2144_DNA,M,2017,P50,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2144_DNA
2145_M_2015_P53_N400_A_20180429,2145_DNA,M,2015,P53,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2145_DNA
2146_M_2015_P53_N400_B_20180429,2146_DNA,M,2015,P53,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2146_DNA
2147_M_2015_P53_N400_C_20180429,2147_DNA,M,2015,P53,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2147_DNA
2148_M_2015_P54_N200_A_20180429,2148_DNA,M,2015,P54,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2148_DNA
2149_M_2015_P54_N200_B_20180429,2149_DNA,M,2015,P54,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2149_DNA
2150_M_2015_P54_N200_C_20180429,2150_DNA,M,2015,P54,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2150_DNA
2151_M_2015_P55_N0_A_20180429,2151_DNA,M,2015,P55,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2151_DNA
2152_M_2015_P55_N0_B_20180429,2152_DNA,M,2015,P55,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2152_DNA
2153_M_2015_P55_N0_C_20180429,2153_DNA,M,2015,P55,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2153_DNA
2154_M_2016_P56_N0_A_20180429,2154_DNA,M,2016,P56,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2154_DNA
2155_M_2016_P56_N0_B_20180429,2155_DNA,M,2016,P56,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2155_DNA
2156_M_2016_P56_N0_C_20180429,2156_DNA,M,2016,P56,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2156_DNA
2157_M_2016_P58_N400_A_20180429,2157_DNA,M,2016,P58,N400,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2157_DNA
2158_M_2016_P58_N400_B_20180429,2158_DNA,M,2016,P58,N400,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2158_DNA
2159_M_2016_P58_N400_C_20180429,2159_DNA,M,2016,P58,N400,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2159_DNA
2160_M_2016_P60_N200_A_20180429,2160_DNA,M,2016,P60,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2160_DNA
2161_M_2016_P60_N200_B_20180429,2161_DNA,M,2016,P60,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2161_DNA
2162_M_2016_P60_N200_C_20180429,2162_DNA,M,2016,P60,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2162_DNA
2163_C_2018_P14_N0_Bulk_20180429,2163_DNA,C,2018,P14,N0,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2163_DNA
2164_C_2018_P13_N300_Bulk_20180429,2164_DNA,C,2018,P13,N300,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2164_DNA
2165_C_2018_P12_N200_Bulk_20180429,2165_DNA,C,2018,P12,N200,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2165_DNA
2166_M_2017_P14_N0_Bulk_20180429,2166_DNA,M,2017,P14,N0,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2166_DNA
2167_M_2017_P13_N400_Bulk_20180429,2167_DNA,M,2017,P13,N400,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2167_DNA
2168_M_2017_P12_N200_Bulk_20180429,2168_DNA,M,2017,P12,N200,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2168_DNA
2169_M_2016_P7_N0_Bulk_20180429,2169_DNA,M,2016,P7,N0,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2169_DNA
2170_M_2016_P6_N400_Bulk_20180429,2170_DNA,M,2016,P6,N400,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2170_DNA
2171_M_2016_P9_N200_Bulk_20180429,2171_DNA,M,2016,P9,N200,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2171_DNA
2172_M_2015_P4_N0_Bulk_20180429,2172_DNA,M,2015,P4,N0,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2172_DNA
2173_M_2015_P3_N400_Bulk_20180429,2173_DNA,M,2015,P3,N400,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2173_DNA
2174_M_2015_P5_N200_Bulk_20180429,2174_DNA,M,2015,P5,N200,Bulk,20180429,-10,DNA,16S,no,bulk,LAMPS_2018,2174_DNA
3001_C_2018_P3_N300_A_20180514,3001_DNA,C,2018,P3,N300,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3001_DNA
3002_C_2018_P3_N300_B_20180514,3002_DNA,C,2018,P3,N300,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3002_DNA
3003_C_2018_P4_N0_A_20180514,3003_DNA,C,2018,P4,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3003_DNA
3004_C_2018_P4_N0_B_20180514,3004_DNA,C,2018,P4,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3004_DNA
3005_C_2018_P5_N200_A_20180514,3005_DNA,C,2018,P5,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3005_DNA
3006_C_2018_P5_N200_B_20180514,3006_DNA,C,2018,P5,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3006_DNA
3007_C_2018_P6_N300_A_20180514,3007_DNA,C,2018,P6,N300,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3007_DNA
3008_C_2018_P6_N300_B_20180514,3008_DNA,C,2018,P6,N300,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3008_DNA
3009_C_2018_P7_N0_A_20180514,3009_DNA,C,2018,P7,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3009_DNA
3010_C_2018_P7_N0_B_20180514,3010_DNA,C,2018,P7,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3010_DNA
3011_C_2018_P9_N200_A_20180514,3011_DNA,C,2018,P9,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3011_DNA
3012_C_2018_P9_N200_B_20180514,3012_DNA,C,2018,P9,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3012_DNA
3013_C_2018_P12_N200_A_20180514,3013_DNA,C,2018,P12,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3013_DNA
3014_C_2018_P12_N200_B_20180514,3014_DNA,C,2018,P12,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3014_DNA
3015_C_2018_P13_N300_A_20180514,3015_DNA,C,2018,P13,N300,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3015_DNA
3016_C_2018_P13_N300_B_20180514,3016_DNA,C,2018,P13,N300,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3016_DNA
3017_C_2018_P14_N0_A_20180514,3017_DNA,C,2018,P14,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3017_DNA
3018_C_2018_P14_N0_B_20180514,3018_DNA,C,2018,P14,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3018_DNA
3019_M_2015_P3_N400_A_20180514,3019_DNA,M,2015,P3,N400,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3019_DNA
3020_M_2015_P3_N400_B_20180514,3020_DNA,M,2015,P3,N400,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018,3020_DNA
